
[Episode   0, Steps   1066] Episode Reward: -21.0, Mean Episode Reward: -21.000, size of replay buffer:   1066 Loss: 0.000, Epsilon: 0.70, Num Training Steps:    0, Per-Episode Time: 00:00:03 Total Elapsed Time 00:00:03
[Episode  19, Steps  20730] Episode Reward: -19.0, Mean Episode Reward: -20.400, size of replay buffer:  20730 Loss: 0.003, Epsilon: 0.68, Num Training Steps: 15730, Per-Episode Time: 00:01:35 Total Elapsed Time 00:24:33
[Episode  20, Steps  21670] Episode Reward: -21.0, Mean Episode Reward: -20.429, size of replay buffer:  21670 Loss: 0.004, Epsilon: 0.68, Num Training Steps: 16670, Per-Episode Time: 00:01:28 Total Elapsed Time 00:26:02
[Episode  21, Steps  22554] Episode Reward: -21.0, Mean Episode Reward: -20.455, size of replay buffer:  22554 Loss: 0.003, Epsilon: 0.68, Num Training Steps: 17554, Per-Episode Time: 00:01:23 Total Elapsed Time 00:27:25
[Episode  22, Steps  23529] Episode Reward: -20.0, Mean Episode Reward: -20.435, size of replay buffer:  23529 Loss: 0.005, Epsilon: 0.68, Num Training Steps: 18529, Per-Episode Time: 00:01:36 Total Elapsed Time 00:29:02
[Episode  23, Steps  24292] Episode Reward: -21.0, Mean Episode Reward: -20.458, size of replay buffer:  24292 Loss: 0.031, Epsilon: 0.68, Num Training Steps: 19292, Per-Episode Time: 00:01:12 Total Elapsed Time 00:30:14
[Episode  24, Steps  25296] Episode Reward: -21.0, Mean Episode Reward: -20.480, size of replay buffer:  25296 Loss: 0.003, Epsilon: 0.68, Num Training Steps: 20296, Per-Episode Time: 00:01:35 Total Elapsed Time 00:31:50
[Episode  25, Steps  26242] Episode Reward: -21.0, Mean Episode Reward: -20.500, size of replay buffer:  26242 Loss: 0.007, Epsilon: 0.67, Num Training Steps: 21242, Per-Episode Time: 00:01:29 Total Elapsed Time 00:33:19
[Episode  26, Steps  27060] Episode Reward: -21.0, Mean Episode Reward: -20.519, size of replay buffer:  27060 Loss: 0.018, Epsilon: 0.67, Num Training Steps: 22060, Per-Episode Time: 00:01:17 Total Elapsed Time 00:34:37
[Episode  27, Steps  28061] Episode Reward: -21.0, Mean Episode Reward: -20.536, size of replay buffer:  28061 Loss: 0.004, Epsilon: 0.67, Num Training Steps: 23061, Per-Episode Time: 00:01:34 Total Elapsed Time 00:36:12
[Episode  28, Steps  29215] Episode Reward: -20.0, Mean Episode Reward: -20.517, size of replay buffer:  29215 Loss: 0.005, Epsilon: 0.67, Num Training Steps: 24215, Per-Episode Time: 00:01:59 Total Elapsed Time 00:38:11
[Episode  29, Steps  30401] Episode Reward: -21.0, Mean Episode Reward: -20.533, size of replay buffer:  30401 Loss: 0.005, Epsilon: 0.67, Num Training Steps: 25401, Per-Episode Time: 00:01:52 Total Elapsed Time 00:40:04
[Episode  30, Steps  31339] Episode Reward: -21.0, Mean Episode Reward: -20.548, size of replay buffer:  31339 Loss: 0.007, Epsilon: 0.67, Num Training Steps: 26339, Per-Episode Time: 00:01:30 Total Elapsed Time 00:41:34
[Episode  31, Steps  32379] Episode Reward: -20.0, Mean Episode Reward: -20.531, size of replay buffer:  32379 Loss: 0.005, Epsilon: 0.67, Num Training Steps: 27379, Per-Episode Time: 00:01:39 Total Elapsed Time 00:43:13
[Episode  32, Steps  33477] Episode Reward: -20.0, Mean Episode Reward: -20.515, size of replay buffer:  33477 Loss: 0.004, Epsilon: 0.67, Num Training Steps: 28477, Per-Episode Time: 00:01:44 Total Elapsed Time 00:44:57
[Episode  33, Steps  34516] Episode Reward: -20.0, Mean Episode Reward: -20.500, size of replay buffer:  34516 Loss: 0.011, Epsilon: 0.67, Num Training Steps: 29516, Per-Episode Time: 00:01:38 Total Elapsed Time 00:46:36
[Episode  34, Steps  35553] Episode Reward: -20.0, Mean Episode Reward: -20.486, size of replay buffer:  35553 Loss: 0.002, Epsilon: 0.67, Num Training Steps: 30553, Per-Episode Time: 00:01:38 Total Elapsed Time 00:48:15
[Episode  35, Steps  36646] Episode Reward: -20.0, Mean Episode Reward: -20.472, size of replay buffer:  36646 Loss: 0.005, Epsilon: 0.66, Num Training Steps: 31646, Per-Episode Time: 00:01:44 Total Elapsed Time 00:49:59
[Episode  36, Steps  37619] Episode Reward: -20.0, Mean Episode Reward: -20.459, size of replay buffer:  37619 Loss: 0.007, Epsilon: 0.66, Num Training Steps: 32619, Per-Episode Time: 00:01:32 Total Elapsed Time 00:51:32
[Episode  37, Steps  38534] Episode Reward: -20.0, Mean Episode Reward: -20.447, size of replay buffer:  38534 Loss: 0.010, Epsilon: 0.66, Num Training Steps: 33534, Per-Episode Time: 00:01:27 Total Elapsed Time 00:52:59
[Episode  38, Steps  39874] Episode Reward: -20.0, Mean Episode Reward: -20.436, size of replay buffer:  39874 Loss: 0.006, Epsilon: 0.66, Num Training Steps: 34874, Per-Episode Time: 00:02:09 Total Elapsed Time 00:55:08
[Episode  39, Steps  41189] Episode Reward: -19.0, Mean Episode Reward: -20.400, size of replay buffer:  41189 Loss: 0.013, Epsilon: 0.66, Num Training Steps: 36189, Per-Episode Time: 00:02:16 Total Elapsed Time 00:57:25
[Episode  40, Steps  42506] Episode Reward: -19.0, Mean Episode Reward: -20.366, size of replay buffer:  42506 Loss: 0.007, Epsilon: 0.66, Num Training Steps: 37506, Per-Episode Time: 00:02:14 Total Elapsed Time 00:59:40
[Episode  41, Steps  43610] Episode Reward: -20.0, Mean Episode Reward: -20.357, size of replay buffer:  43610 Loss: 0.002, Epsilon: 0.66, Num Training Steps: 38610, Per-Episode Time: 00:01:49 Total Elapsed Time 01:01:29
[Episode  42, Steps  44675] Episode Reward: -21.0, Mean Episode Reward: -20.372, size of replay buffer:  44675 Loss: 0.007, Epsilon: 0.66, Num Training Steps: 39675, Per-Episode Time: 00:01:44 Total Elapsed Time 01:03:14
[Episode  43, Steps  45558] Episode Reward: -21.0, Mean Episode Reward: -20.386, size of replay buffer:  45558 Loss: 0.005, Epsilon: 0.66, Num Training Steps: 40558, Per-Episode Time: 00:01:26 Total Elapsed Time 01:04:40
[Episode  44, Steps  46532] Episode Reward: -20.0, Mean Episode Reward: -20.378, size of replay buffer:  46532 Loss: 0.002, Epsilon: 0.66, Num Training Steps: 41532, Per-Episode Time: 00:01:33 Total Elapsed Time 01:06:14
[Episode  45, Steps  47474] Episode Reward: -21.0, Mean Episode Reward: -20.391, size of replay buffer:  47474 Loss: 0.002, Epsilon: 0.65, Num Training Steps: 42474, Per-Episode Time: 00:01:31 Total Elapsed Time 01:07:45
[Episode  46, Steps  48692] Episode Reward: -20.0, Mean Episode Reward: -20.383, size of replay buffer:  48692 Loss: 0.010, Epsilon: 0.65, Num Training Steps: 43692, Per-Episode Time: 00:02:18 Total Elapsed Time 01:10:04
[Episode  47, Steps  49977] Episode Reward: -18.0, Mean Episode Reward: -20.333, size of replay buffer:  49977 Loss: 0.022, Epsilon: 0.65, Num Training Steps: 44977, Per-Episode Time: 00:02:35 Total Elapsed Time 01:12:39
[Episode  48, Steps  51013] Episode Reward: -20.0, Mean Episode Reward: -20.327, size of replay buffer:  51013 Loss: 0.006, Epsilon: 0.65, Num Training Steps: 46013, Per-Episode Time: 00:02:12 Total Elapsed Time 01:14:52
[Episode  49, Steps  52114] Episode Reward: -20.0, Mean Episode Reward: -20.320, size of replay buffer:  52114 Loss: 0.014, Epsilon: 0.65, Num Training Steps: 47114, Per-Episode Time: 00:02:16 Total Elapsed Time 01:17:08
[Episode  50, Steps  53299] Episode Reward: -21.0, Mean Episode Reward: -20.333, size of replay buffer:  53299 Loss: 0.006, Epsilon: 0.65, Num Training Steps: 48299, Per-Episode Time: 00:01:58 Total Elapsed Time 01:19:07
[Test Episode Reward] Average: -21.000, Standard Dev.: 0.000
[Episode  51, Steps  54360] Episode Reward: -21.0, Mean Episode Reward: -20.346, size of replay buffer:  54360 Loss: 0.005, Epsilon: 0.65, Num Training Steps: 49360, Per-Episode Time: 00:01:49 Total Elapsed Time 01:21:08
[Episode  52, Steps  55339] Episode Reward: -20.0, Mean Episode Reward: -20.340, size of replay buffer:  55339 Loss: 0.002, Epsilon: 0.65, Num Training Steps: 50339, Per-Episode Time: 00:01:38 Total Elapsed Time 01:22:46
[Episode  53, Steps  56794] Episode Reward: -20.0, Mean Episode Reward: -20.333, size of replay buffer:  56794 Loss: 0.003, Epsilon: 0.65, Num Training Steps: 51794, Per-Episode Time: 00:02:26 Total Elapsed Time 01:25:12
[Episode  54, Steps  57956] Episode Reward: -20.0, Mean Episode Reward: -20.327, size of replay buffer:  57956 Loss: 0.007, Epsilon: 0.65, Num Training Steps: 52956, Per-Episode Time: 00:01:56 Total Elapsed Time 01:27:09
[Episode  55, Steps  59359] Episode Reward: -20.0, Mean Episode Reward: -20.321, size of replay buffer:  59359 Loss: 0.006, Epsilon: 0.64, Num Training Steps: 54359, Per-Episode Time: 00:02:21 Total Elapsed Time 01:29:31
[Episode  56, Steps  60884] Episode Reward: -20.0, Mean Episode Reward: -20.316, size of replay buffer:  60884 Loss: 0.009, Epsilon: 0.64, Num Training Steps: 55884, Per-Episode Time: 00:02:34 Total Elapsed Time 01:32:06
[Episode  57, Steps  62006] Episode Reward: -21.0, Mean Episode Reward: -20.328, size of replay buffer:  62006 Loss: 0.008, Epsilon: 0.64, Num Training Steps: 57006, Per-Episode Time: 00:01:53 Total Elapsed Time 01:33:59
[Episode  58, Steps  63190] Episode Reward: -21.0, Mean Episode Reward: -20.339, size of replay buffer:  63190 Loss: 0.005, Epsilon: 0.64, Num Training Steps: 58190, Per-Episode Time: 00:02:02 Total Elapsed Time 01:36:02
[Episode  59, Steps  64469] Episode Reward: -20.0, Mean Episode Reward: -20.333, size of replay buffer:  64469 Loss: 0.005, Epsilon: 0.64, Num Training Steps: 59469, Per-Episode Time: 00:02:12 Total Elapsed Time 01:38:14
[Episode  60, Steps  65882] Episode Reward: -18.0, Mean Episode Reward: -20.295, size of replay buffer:  65882 Loss: 0.005, Epsilon: 0.64, Num Training Steps: 60882, Per-Episode Time: 00:02:28 Total Elapsed Time 01:40:42
[Episode  61, Steps  67318] Episode Reward: -19.0, Mean Episode Reward: -20.274, size of replay buffer:  67318 Loss: 0.007, Epsilon: 0.64, Num Training Steps: 62318, Per-Episode Time: 00:02:35 Total Elapsed Time 01:43:18
[Episode  62, Steps  68785] Episode Reward: -18.0, Mean Episode Reward: -20.238, size of replay buffer:  68785 Loss: 0.003, Epsilon: 0.64, Num Training Steps: 63785, Per-Episode Time: 00:02:41 Total Elapsed Time 01:45:59
[Episode  63, Steps  70192] Episode Reward: -18.0, Mean Episode Reward: -20.203, size of replay buffer:  70192 Loss: 0.006, Epsilon: 0.64, Num Training Steps: 65192, Per-Episode Time: 00:02:38 Total Elapsed Time 01:48:38
[Episode  64, Steps  71632] Episode Reward: -19.0, Mean Episode Reward: -20.185, size of replay buffer:  71632 Loss: 0.003, Epsilon: 0.64, Num Training Steps: 66632, Per-Episode Time: 00:02:43 Total Elapsed Time 01:51:22
[Episode  65, Steps  72816] Episode Reward: -21.0, Mean Episode Reward: -20.197, size of replay buffer:  72816 Loss: 0.007, Epsilon: 0.64, Num Training Steps: 67816, Per-Episode Time: 00:02:15 Total Elapsed Time 01:53:38
[Episode  66, Steps  74323] Episode Reward: -17.0, Mean Episode Reward: -20.149, size of replay buffer:  74323 Loss: 0.004, Epsilon: 0.63, Num Training Steps: 69323, Per-Episode Time: 00:02:55 Total Elapsed Time 01:56:33
[Episode  67, Steps  75866] Episode Reward: -21.0, Mean Episode Reward: -20.162, size of replay buffer:  75866 Loss: 0.008, Epsilon: 0.63, Num Training Steps: 70866, Per-Episode Time: 00:02:59 Total Elapsed Time 01:59:32
[Episode  68, Steps  77706] Episode Reward: -16.0, Mean Episode Reward: -20.101, size of replay buffer:  77706 Loss: 0.008, Epsilon: 0.63, Num Training Steps: 72706, Per-Episode Time: 00:03:38 Total Elapsed Time 02:03:11
[Episode  69, Steps  79176] Episode Reward: -18.0, Mean Episode Reward: -20.071, size of replay buffer:  79176 Loss: 0.006, Epsilon: 0.63, Num Training Steps: 74176, Per-Episode Time: 00:02:52 Total Elapsed Time 02:06:04
[Episode  70, Steps  80393] Episode Reward: -20.0, Mean Episode Reward: -20.070, size of replay buffer:  80393 Loss: 0.015, Epsilon: 0.63, Num Training Steps: 75393, Per-Episode Time: 00:02:23 Total Elapsed Time 02:08:27
[Episode  71, Steps  82232] Episode Reward: -18.0, Mean Episode Reward: -20.042, size of replay buffer:  82232 Loss: 0.026, Epsilon: 0.63, Num Training Steps: 77232, Per-Episode Time: 00:03:38 Total Elapsed Time 02:12:06
[Episode  72, Steps  83783] Episode Reward: -19.0, Mean Episode Reward: -20.027, size of replay buffer:  83783 Loss: 0.011, Epsilon: 0.63, Num Training Steps: 78783, Per-Episode Time: 00:03:04 Total Elapsed Time 02:15:10
[Episode  73, Steps  85276] Episode Reward: -19.0, Mean Episode Reward: -20.014, size of replay buffer:  85276 Loss: 0.010, Epsilon: 0.63, Num Training Steps: 80276, Per-Episode Time: 00:02:58 Total Elapsed Time 02:18:08
[Episode  74, Steps  86803] Episode Reward: -18.0, Mean Episode Reward: -19.987, size of replay buffer:  86803 Loss: 0.009, Epsilon: 0.63, Num Training Steps: 81803, Per-Episode Time: 00:03:01 Total Elapsed Time 02:21:10
[Episode  75, Steps  88580] Episode Reward: -18.0, Mean Episode Reward: -19.961, size of replay buffer:  88580 Loss: 0.016, Epsilon: 0.62, Num Training Steps: 83580, Per-Episode Time: 00:03:31 Total Elapsed Time 02:24:42
[Episode  76, Steps  90323] Episode Reward: -17.0, Mean Episode Reward: -19.922, size of replay buffer:  90323 Loss: 0.004, Epsilon: 0.62, Num Training Steps: 85323, Per-Episode Time: 00:03:28 Total Elapsed Time 02:28:10
[Episode  77, Steps  91740] Episode Reward: -18.0, Mean Episode Reward: -19.897, size of replay buffer:  91740 Loss: 0.007, Epsilon: 0.62, Num Training Steps: 86740, Per-Episode Time: 00:02:51 Total Elapsed Time 02:31:02
[Episode  78, Steps  93613] Episode Reward: -17.0, Mean Episode Reward: -19.861, size of replay buffer:  93613 Loss: 0.028, Epsilon: 0.62, Num Training Steps: 88613, Per-Episode Time: 00:03:43 Total Elapsed Time 02:34:45
[Episode  79, Steps  95322] Episode Reward: -20.0, Mean Episode Reward: -19.863, size of replay buffer:  95322 Loss: 0.006, Epsilon: 0.62, Num Training Steps: 90322, Per-Episode Time: 00:03:29 Total Elapsed Time 02:38:15
[Episode  80, Steps  97128] Episode Reward: -17.0, Mean Episode Reward: -19.827, size of replay buffer:  97128 Loss: 0.004, Epsilon: 0.62, Num Training Steps: 92128, Per-Episode Time: 00:03:38 Total Elapsed Time 02:41:53
[Episode  81, Steps  98739] Episode Reward: -21.0, Mean Episode Reward: -19.841, size of replay buffer:  98739 Loss: 0.004, Epsilon: 0.62, Num Training Steps: 93739, Per-Episode Time: 00:03:12 Total Elapsed Time 02:45:05
[Episode  82, Steps 100576] Episode Reward: -18.0, Mean Episode Reward: -19.819, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.62, Num Training Steps: 95576, Per-Episode Time: 00:03:41 Total Elapsed Time 02:48:47
[Episode  83, Steps 101885] Episode Reward: -19.0, Mean Episode Reward: -19.810, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.62, Num Training Steps: 96885, Per-Episode Time: 00:02:39 Total Elapsed Time 02:51:26
[Episode  84, Steps 103410] Episode Reward: -20.0, Mean Episode Reward: -19.812, size of replay buffer: 100000 Loss: 0.011, Epsilon: 0.62, Num Training Steps: 98410, Per-Episode Time: 00:03:03 Total Elapsed Time 02:54:30
[Episode  85, Steps 104781] Episode Reward: -19.0, Mean Episode Reward: -19.802, size of replay buffer: 100000 Loss: 0.001, Epsilon: 0.61, Num Training Steps: 99781, Per-Episode Time: 00:02:46 Total Elapsed Time 02:57:17
[Episode  86, Steps 106290] Episode Reward: -17.0, Mean Episode Reward: -19.770, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.61, Num Training Steps: 101290, Per-Episode Time: 00:03:04 Total Elapsed Time 03:00:21
[Episode  87, Steps 107818] Episode Reward: -18.0, Mean Episode Reward: -19.750, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.61, Num Training Steps: 102818, Per-Episode Time: 00:03:07 Total Elapsed Time 03:03:28
[Episode  88, Steps 109925] Episode Reward: -17.0, Mean Episode Reward: -19.719, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.61, Num Training Steps: 104925, Per-Episode Time: 00:04:15 Total Elapsed Time 03:07:44
[Episode  89, Steps 112202] Episode Reward: -14.0, Mean Episode Reward: -19.656, size of replay buffer: 100000 Loss: 0.007, Epsilon: 0.61, Num Training Steps: 107202, Per-Episode Time: 00:04:36 Total Elapsed Time 03:12:21
[Episode  90, Steps 113952] Episode Reward: -17.0, Mean Episode Reward: -19.626, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.61, Num Training Steps: 108952, Per-Episode Time: 00:03:31 Total Elapsed Time 03:15:52
[Episode  91, Steps 115394] Episode Reward: -19.0, Mean Episode Reward: -19.620, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.61, Num Training Steps: 110394, Per-Episode Time: 00:02:54 Total Elapsed Time 03:18:46
[Episode  92, Steps 117801] Episode Reward: -17.0, Mean Episode Reward: -19.591, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.61, Num Training Steps: 112801, Per-Episode Time: 00:04:53 Total Elapsed Time 03:23:40
[Episode  93, Steps 119357] Episode Reward: -19.0, Mean Episode Reward: -19.585, size of replay buffer: 100000 Loss: 0.005, Epsilon: 0.61, Num Training Steps: 114357, Per-Episode Time: 00:03:13 Total Elapsed Time 03:26:53
[Episode  94, Steps 120769] Episode Reward: -18.0, Mean Episode Reward: -19.568, size of replay buffer: 100000 Loss: 0.014, Epsilon: 0.61, Num Training Steps: 115769, Per-Episode Time: 00:02:52 Total Elapsed Time 03:29:45
[Episode  95, Steps 122418] Episode Reward: -20.0, Mean Episode Reward: -19.573, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.60, Num Training Steps: 117418, Per-Episode Time: 00:03:19 Total Elapsed Time 03:33:05
[Episode  96, Steps 124156] Episode Reward: -19.0, Mean Episode Reward: -19.567, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.60, Num Training Steps: 119156, Per-Episode Time: 00:03:31 Total Elapsed Time 03:36:37
[Episode  97, Steps 126135] Episode Reward: -19.0, Mean Episode Reward: -19.561, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.60, Num Training Steps: 121135, Per-Episode Time: 00:04:00 Total Elapsed Time 03:40:37
[Episode  98, Steps 128206] Episode Reward: -18.0, Mean Episode Reward: -19.545, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.60, Num Training Steps: 123206, Per-Episode Time: 00:04:12 Total Elapsed Time 03:44:49
[Episode  99, Steps 130152] Episode Reward: -20.0, Mean Episode Reward: -19.550, size of replay buffer: 100000 Loss: 0.009, Epsilon: 0.60, Num Training Steps: 125152, Per-Episode Time: 00:03:56 Total Elapsed Time 03:48:46
[Episode 100, Steps 131828] Episode Reward: -21.0, Mean Episode Reward: -19.550, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.60, Num Training Steps: 126828, Per-Episode Time: 00:03:22 Total Elapsed Time 03:52:09
[Test Episode Reward] Average: -13.667, Standard Dev.: 8.994
[Episode 101, Steps 133750] Episode Reward: -19.0, Mean Episode Reward: -19.530, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.60, Num Training Steps: 128750, Per-Episode Time: 00:03:52 Total Elapsed Time 04:02:46
[Episode 102, Steps 135341] Episode Reward: -18.0, Mean Episode Reward: -19.500, size of replay buffer: 100000 Loss: 0.008, Epsilon: 0.60, Num Training Steps: 130341, Per-Episode Time: 00:03:13 Total Elapsed Time 04:06:00
[Episode 103, Steps 136867] Episode Reward: -20.0, Mean Episode Reward: -19.490, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.60, Num Training Steps: 131867, Per-Episode Time: 00:03:04 Total Elapsed Time 04:09:05
[Episode 104, Steps 138766] Episode Reward: -18.0, Mean Episode Reward: -19.460, size of replay buffer: 100000 Loss: 0.012, Epsilon: 0.60, Num Training Steps: 133766, Per-Episode Time: 00:03:50 Total Elapsed Time 04:12:55
[Episode 105, Steps 140711] Episode Reward: -15.0, Mean Episode Reward: -19.420, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.59, Num Training Steps: 135711, Per-Episode Time: 00:03:52 Total Elapsed Time 04:16:48
[Episode 106, Steps 141941] Episode Reward: -18.0, Mean Episode Reward: -19.390, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.59, Num Training Steps: 136941, Per-Episode Time: 00:02:27 Total Elapsed Time 04:19:16
[Episode 107, Steps 143889] Episode Reward: -20.0, Mean Episode Reward: -19.380, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.59, Num Training Steps: 138889, Per-Episode Time: 00:03:57 Total Elapsed Time 04:23:13
[Episode 108, Steps 145935] Episode Reward: -17.0, Mean Episode Reward: -19.350, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.59, Num Training Steps: 140935, Per-Episode Time: 00:04:07 Total Elapsed Time 04:27:21
[Episode 109, Steps 147471] Episode Reward: -18.0, Mean Episode Reward: -19.330, size of replay buffer: 100000 Loss: 0.010, Epsilon: 0.59, Num Training Steps: 142471, Per-Episode Time: 00:03:09 Total Elapsed Time 04:30:31
[Episode 110, Steps 149329] Episode Reward: -19.0, Mean Episode Reward: -19.310, size of replay buffer: 100000 Loss: 0.003, Epsilon: 0.59, Num Training Steps: 144329, Per-Episode Time: 00:03:45 Total Elapsed Time 04:34:17
[Episode 111, Steps 151604] Episode Reward: -14.0, Mean Episode Reward: -19.250, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.59, Num Training Steps: 146604, Per-Episode Time: 00:04:35 Total Elapsed Time 04:38:52
[Episode 112, Steps 153221] Episode Reward: -19.0, Mean Episode Reward: -19.240, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.59, Num Training Steps: 148221, Per-Episode Time: 00:03:13 Total Elapsed Time 04:42:06
[Episode 113, Steps 154866] Episode Reward: -20.0, Mean Episode Reward: -19.230, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.59, Num Training Steps: 149866, Per-Episode Time: 00:03:14 Total Elapsed Time 04:45:20
[Episode 114, Steps 156305] Episode Reward: -19.0, Mean Episode Reward: -19.230, size of replay buffer: 100000 Loss: 0.013, Epsilon: 0.59, Num Training Steps: 151305, Per-Episode Time: 00:02:51 Total Elapsed Time 04:48:12
[Episode 115, Steps 158547] Episode Reward: -15.0, Mean Episode Reward: -19.180, size of replay buffer: 100000 Loss: 0.004, Epsilon: 0.58, Num Training Steps: 153547, Per-Episode Time: 00:04:30 Total Elapsed Time 04:52:43
[Episode 116, Steps 160835] Episode Reward: -17.0, Mean Episode Reward: -19.140, size of replay buffer: 100000 Loss: 0.017, Epsilon: 0.58, Num Training Steps: 155835, Per-Episode Time: 00:04:37 Total Elapsed Time 04:57:20
[Episode 117, Steps 162573] Episode Reward: -19.0, Mean Episode Reward: -19.130, size of replay buffer: 100000 Loss: 0.002, Epsilon: 0.58, Num Training Steps: 157573, Per-Episode Time: 00:03:33 Total Elapsed Time 05:00:53
